,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Distributive Fairness Monitoring,6.0,1.8,6,1,6,2,6.0,2.0,1.9
Distributive Justice Clarity,5.333333333333333,1.0,5,1,6,1,5.0,1.0,2.5
Dominating Leader Behavior,5.666666666666667,1.0,5,1,6,1,6.0,1.0,3.5
Duty to Codes Orientation,6.0,1.5,6,1,6,2,6.0,1.5,2.875
Duty to Members Orientation,5.5,1.0,4,1,6,1,6.0,1.0,1.75
Duty to Mission Orientation,6.0,2.0,6,2,6,2,6.0,2.0,3.25
Emphasizing Group Identity by Supervisor,5.0,1.0,4,0,6,2,5.0,1.0,0.6
Envisioning,3.3333333333333335,0.6666666666666666,3,0,4,2,3.0,0.0,-0.3333333333333333
Equitable Organizational Practices,5.0,1.6,4,1,6,2,5.0,2.0,2.5
Ethical Values Credits,6.25,1.0,6,1,7,1,6.0,1.0,3.5
Evangelism Stigmas,6.5,1.25,6,1,7,2,6.5,1.0,3.5
Exclusion beliefs,4.5,1.5,4,1,5,2,4.5,1.5,1.25
Expectation Reaction to Supervisor,5.0,2.0,4,2,6,2,5.0,2.0,1.125
Extrinsic Career Goal,6.0,1.0,6,1,6,1,6.0,1.0,1.875
Family Incivility,5.333333333333333,1.5,5,1,6,2,5.0,1.5,2.8333333333333335
Family to Personal Conflict,5.8,2.0,5,2,6,2,6.0,2.0,3.3
Gender Determinism,6.25,2.0,6,2,7,2,6.0,2.0,1.625
Global Organizational Commitment,5.5,1.0,4,1,6,1,6.0,1.0,2.375
Idea Validation,5.2,0.8,3,0,6,1,6.0,1.0,0.9
Identity Strain,6.0,1.0,6,1,6,1,6.0,1.0,2.0
Inclusion in Decision Making,5.25,2.0,5,2,6,2,5.0,2.0,1.375
Integration of Differences,4.0,1.3333333333333333,2,0,6,2,4.0,1.5,0.6666666666666666
Interactional Justice Clarity,5.2,1.6,5,1,6,2,5.0,2.0,1.7
Interest/Enjoyment Sales Self-Efficacy,3.4,0.2,2,0,6,1,3.0,0.0,0.4
International Employee Identity,6.25,1.25,6,1,7,2,6.0,1.0,4.0
Interpersonal Fairness Monitoring,5.5,2.0,5,2,6,2,5.5,2.0,1.5833333333333333
Intraorganizational employee navigation,4.8,1.2,4,1,6,2,5.0,1.0,2.0
Intrinsic Career Goal,5.6,1.2,5,0,6,2,6.0,1.0,1.8
Knowledge Stock,3.0,1.0,3,1,3,1,3.0,1.0,-0.1
Loss Orientation,4.666666666666667,0.6666666666666666,3,0,6,1,5.0,1.0,1.3333333333333333
Moral Credits,6.0,1.0,6,1,6,1,6.0,1.0,3.2
Moral Identification,4.8,2.0,4,2,6,2,4.0,2.0,1.1
Naiveté,5.0,1.0,4,1,6,1,5.0,1.0,3.0
Organizational Support for Development,6.0,2.0,6,2,6,2,6.0,2.0,3.5
Oscillation Orientation,4.0,0.6666666666666666,3,0,6,1,3.0,1.0,1.1666666666666667
Other Focus Credits,6.25,1.0,5,1,7,1,6.5,1.0,1.125
Perceived Career Opportunity,6.333333333333333,1.0,6,1,7,1,6.0,1.0,2.3333333333333335
Performance Monitoring,4.0,0.5,3,0,5,2,4.0,0.0,-0.25
Personal Life Motives,6.75,1.25,6,1,7,2,7.0,1.0,3.5
Personal Recognition by Supervisor,6.0,1.0,6,1,6,1,6.0,1.0,2.625
Personal to Family Conflict,6.6,1.2,6,1,7,2,7.0,1.0,3.9
Personal to Work Conflict,6.0,1.8,6,1,6,2,6.0,2.0,3.2
Planning,5.333333333333333,2.0,5,2,6,2,5.0,2.0,1.8333333333333333
Procedural Fairness Monitoring,6.2,2.0,6,2,7,2,6.0,2.0,2.7
Procedural Justice Clarity,5.833333333333333,1.6666666666666667,5,1,6,2,6.0,2.0,3.1666666666666665
Productivity Motives,6.333333333333333,1.0,6,1,7,1,6.0,1.0,2.3333333333333335
Prohibitive Voice,4.4,0.8,3,0,6,1,4.0,1.0,0.9
Promotive Voice,6.0,1.0,6,1,6,1,6.0,1.0,1.5
Propensity to Morally Disengage,5.375,1.0,5,1,6,1,5.0,1.0,2.6875
Reflecting,6.0,2.0,6,2,6,2,6.0,2.0,2.5
Relational Energy,6.0,1.0,5,1,7,1,6.0,1.0,2.9
Reputation Maintenance Concerns,6.25,1.75,6,1,7,2,6.0,2.0,2.625
Restoration Orientation,4.833333333333333,1.6666666666666667,4,1,6,2,5.0,2.0,1.25
Self-Righteousness Stigmas,6.5,1.25,6,1,7,2,6.5,1.0,3.0
Self-Verification Striving,5.875,1.25,5,1,6,2,6.0,1.0,3.5625
Self/Other Centeredness Supervisor Behaviors,5.6,1.4,5,1,6,2,6.0,1.0,2.6
Sense of Community Credits,5.75,1.0,4,1,7,1,6.0,1.0,2.25
Shame,4.5,0.5,3,0,5,2,5.0,0.0,-0.25
Skill/ability sales self-efficacy,6.0,1.6,5,1,7,2,6.0,2.0,3.3
Social Exchange Relationship,4.75,0.5,4,0,6,1,4.5,0.5,0.5
State Gratitude,4.4,1.2,4,1,5,2,4.0,1.0,0.8
Subjective Social Class,3.8333333333333335,1.0,3,0,5,2,4.0,1.0,0.4166666666666667
Superficial Reaction to Supervisor,2.0,0.0,2,0,2,0,2.0,0.0,0.0
Supervisor Enforcing Work Requirements/Flexibility,5.5,1.0,5,1,6,1,5.5,1.0,2.0
Supervisor Follower Development,6.0,2.0,6,2,6,2,6.0,2.0,2.0
Supervisor Intellectual Stimulation,5.666666666666667,2.0,5,2,6,2,6.0,2.0,1.8333333333333333
Supervisor Solicitation of Voice,4.75,0.75,4,0,6,1,4.5,1.0,0.25
Supervisor Support for Recovery,2.3333333333333335,0.6666666666666666,2,0,4,2,2.0,0.0,0.3333333333333333
Supervisor Team Building,6.0,1.4,6,1,6,2,6.0,1.0,2.9
Supervisor Vision Communication,6.25,1.5,6,1,7,2,6.0,1.5,2.375
Supervisor's Organizational Embodiment,5.777777777777778,1.6666666666666667,4,1,6,2,6.0,2.0,2.8333333333333335
Supervisor-Triggered Newcomer Negative Affect,5.625,0.625,4,0,6,2,6.0,0.0,0.0625
Supervisor-Triggered Newcomer Positive Affect,5.75,1.375,5,1,6,2,6.0,1.0,1.3125
Supportive Voice (Burris),5.5,1.0,4,1,6,1,6.0,1.0,2.125
Supportive Voice (Maynes),6.0,1.0,6,1,6,1,6.0,1.0,1.7
Synchrony Preference,5.0,1.75,3,1,6,2,5.5,2.0,2.125
Team Temporal Leadership,5.857142857142857,1.0,5,1,6,1,6.0,1.0,2.5
Tendency to Gossip,6.0,2.0,6,2,6,2,6.0,2.0,2.625
Time Management Credits,6.25,2.0,6,2,7,2,6.0,2.0,1.625
Uniformity/Individualization Supervisor Behaviors,6.2,1.0,6,1,7,1,6.0,1.0,1.8
Victim Identity,7.0,2.0,7,2,7,2,7.0,2.0,3.5
Void Filling Stigmas,6.25,1.5,6,1,7,2,6.0,1.5,3.5
Volunteering,6.2,2.0,6,2,7,2,6.0,2.0,2.3
Voracity,6.2,1.6,6,1,7,2,6.0,2.0,3.0
Wanderlust,6.8,2.0,6,2,7,2,7.0,2.0,3.7
Work to Personal Conflict,6.0,1.0,5,1,7,1,6.0,1.0,2.5
